iteration,rmp_objective,column_pool_size,columns_added
1,121.30000000000001,137,15
2,120.29999999999998,161,24
3,118.79999999999998,180,19
4,118.79999999999998,196,16
5,118.79999999999998,204,8
6,118.79999999999998,211,7
7,118.79999999999998,218,7
8,118.79999999999998,225,7
9,118.79999999999998,231,6
10,118.79999999999998,237,6
11,118.79999999999998,243,6
12,118.79999999999998,247,4
13,118.79999999999998,247,0
