iteration,rmp_objective,column_pool_size,columns_added
1,121.3,137,15
2,120.29999999999998,161,24
3,118.80000000000001,180,19
4,118.8,196,16
5,118.8,208,12
6,118.8,215,7
7,118.8,222,7
8,118.8,229,7
9,118.8,235,6
10,118.8,241,6
11,118.8,247,6
12,118.8,251,4
13,118.8,251,0
