iteration,rmp_objective,column_pool_size,columns_added
1,55.5,106,12
2,51.9,126,20
3,51.9,142,16
4,51.9,150,8
5,51.9,156,6
6,51.9,159,3
7,51.9,160,1
8,51.9,160,0
